Id,Neighborhood,OverallQual,OverallCond,GrLivArea,FullBath,HalfBath,TotRmsAbvGrd,YrSold,SalePrice
1,CollgCr,7,5,1710,2,1,8,2008,208500
2,Veenker,6,8,1262,2,0,6,2007,181500
3,CollgCr,7,5,1786,2,1,6,2008,223500
4,Crawfor,7,5,1717,1,0,7,2006,140000
5,NoRidge,8,5,2198,2,1,9,2008,250000
6,Mitchel,5,5,1362,1,1,5,2009,143000
7,Somerst,8,5,1694,2,0,7,2007,307000
8,NWAmes,7,6,2090,2,1,7,2009,200000
9,OldTown,7,5,1774,2,0,8,2008,129900
10,BrkSide,5,6,1077,1,0,5,2008,118000
11,Sawyer,5,5,1040,1,0,5,2008,129500
12,NridgHt,9,5,2324,3,0,11,2006,345000
13,Sawyer,5,6,912,1,0,4,2008,144000
14,CollgCr,7,5,1494,2,0,7,2007,279500
15,NAmes,6,5,1253,1,1,5,2008,157000
16,BrkSide,7,8,854,1,0,5,2007,132000
17,NAmes,6,7,1004,1,0,5,2010,149000
18,Sawyer,4,5,1296,2,0,6,2006,90000
19,SawyerW,5,5,1114,1,1,6,2008,159000
20,NAmes,5,6,1339,1,0,6,2009,139000
21,NridgHt,8,5,2376,3,1,9,2006,325300
22,IDOTRR,7,7,1108,1,0,6,2007,139400
23,CollgCr,8,5,1795,2,0,7,2008,230000
24,MeadowV,5,7,1060,1,0,6,2007,129900
25,Sawyer,5,8,1060,1,0,6,2010,154000
26,NridgHt,8,5,1600,2,0,7,2009,256300
27,NAmes,5,7,900,1,0,5,2010,134800
28,NridgHt,8,5,1704,2,0,7,2010,306000
29,NAmes,5,6,1600,1,0,6,2006,207500
30,BrkSide,4,6,520,1,0,4,2008,68500
31,IDOTRR,4,4,1317,1,0,6,2008,40000
32,Sawyer,5,6,1228,1,1,6,2008,149350
33,CollgCr,8,5,1234,2,0,7,2008,179900
34,NAmes,5,5,1700,1,1,6,2010,165500
35,NridgHt,9,5,1561,2,0,6,2007,277500
36,NridgHt,8,5,2452,3,1,9,2006,309000
37,CollgCr,5,5,1097,1,1,6,2009,145000
38,NAmes,5,6,1297,1,0,5,2009,153000
39,NAmes,5,7,1057,1,0,5,2010,109000
40,Edwards,4,5,1152,2,0,6,2008,82000
41,NAmes,6,5,1324,2,0,6,2006,160000
42,Timber,5,6,1328,1,1,5,2007,170000
43,SawyerW,5,7,884,1,0,5,2007,144000
44,CollgCr,5,6,938,1,0,5,2008,130250
45,NAmes,5,6,1150,1,0,6,2006,141000
46,NridgHt,9,5,1752,2,0,6,2010,319900
47,Mitchel,7,5,2149,1,1,6,2009,239686
48,Somerst,8,5,1656,2,0,7,2007,249700
49,OldTown,4,5,1452,2,0,8,2009,113000
50,Sawyer,5,7,955,1,0,6,2007,127000
51,Gilbert,6,6,1470,2,0,6,2007,177000
52,BrkSide,6,6,1176,1,0,6,2006,114500
53,IDOTRR,5,5,816,1,0,5,2010,110000
54,Veenker,9,5,1842,0,1,5,2006,385000
55,NAmes,5,5,1360,1,0,6,2007,130000
56,NAmes,6,5,1425,2,0,7,2008,180500
57,Somerst,8,5,1739,2,1,7,2009,172500
58,CollgCr,7,5,1720,2,1,7,2006,196500
59,StoneBr,10,5,2945,3,1,10,2006,438780
60,CollgCr,5,7,780,1,0,4,2008,124900
61,SawyerW,6,5,1158,1,1,5,2006,158000
62,IDOTRR,5,7,1111,1,0,6,2007,101000
63,NridgHt,8,5,1370,2,0,6,2007,202500
64,OldTown,7,6,1710,2,0,9,2010,140000
65,CollgCr,7,5,2034,2,1,8,2009,219500
66,NridgHt,8,5,2473,2,1,9,2007,317000
67,NAmes,7,5,2207,2,0,7,2010,180000
68,CollgCr,7,5,1479,2,0,7,2007,226000
69,OldTown,4,6,747,1,0,4,2010,80000
70,ClearCr,7,4,2287,2,0,7,2006,225000
71,NAmes,7,6,2223,2,0,8,2007,244000
72,Mitchel,4,6,845,1,0,4,2007,129500
73,Gilbert,7,5,1718,2,1,7,2009,185000
74,NAmes,5,7,1086,1,0,6,2010,144900
75,OldTown,3,6,1605,2,0,8,2010,107400
76,MeadowV,4,5,988,1,0,5,2009,91000
77,NAmes,4,7,952,1,0,4,2008,135750
78,BrkSide,5,5,1285,1,0,6,2008,127000
79,Sawyer,4,5,1768,2,0,8,2010,136500
80,OldTown,5,6,1230,1,1,5,2009,110000
81,NAmes,6,6,2142,2,1,8,2009,193500
82,Mitchel,6,5,1337,2,0,5,2006,153500
83,Somerst,8,5,1563,2,0,6,2008,245000
84,NAmes,5,5,1065,1,1,6,2007,126500
85,Gilbert,7,5,1474,2,1,7,2009,168500
86,NoRidge,8,5,2417,2,1,9,2006,260000
87,Gilbert,6,5,1560,2,1,6,2009,174000
88,Somerst,6,5,1224,2,1,4,2009,164500
89,IDOTRR,3,2,1526,1,0,6,2009,85000
90,CollgCr,4,5,990,1,0,5,2007,123600
91,NAmes,4,5,1040,1,0,4,2006,109900
92,NAmes,5,3,1235,1,0,6,2006,98600
93,Crawfor,5,7,964,1,0,5,2009,163500
94,OldTown,6,6,2291,2,0,9,2007,133900
95,CollgCr,6,5,1786,2,1,7,2007,204750
96,Gilbert,6,8,1470,2,1,6,2009,185000
97,CollgCr,7,5,1588,2,0,6,2006,214000
98,Edwards,4,5,960,1,0,6,2007,94750
99,Edwards,5,5,835,1,0,5,2010,83000
100,NAmes,4,5,1225,1,1,6,2010,128950
101,NWAmes,6,7,1610,2,0,6,2010,205000
102,SawyerW,6,5,1732,2,1,7,2010,178000
103,SawyerW,5,5,1535,2,0,8,2009,118964
104,CollgCr,7,5,1226,2,0,6,2010,198900
105,IDOTRR,7,4,1818,1,1,7,2007,169500
106,Somerst,8,5,1992,2,1,9,2008,250000
107,OldTown,4,7,1047,1,0,6,2007,100000
108,OldTown,5,5,789,1,0,5,2008,115000
109,IDOTRR,5,7,1517,2,0,7,2007,115000
110,NWAmes,6,6,1844,2,0,7,2010,190000
111,Edwards,6,4,1855,2,0,7,2006,136900
112,Gilbert,7,5,1430,2,1,7,2010,180000
113,CollgCr,7,5,2696,2,1,10,2007,383970
114,Crawfor,6,5,2259,2,0,7,2007,217000
115,Crawfor,6,8,2320,2,1,9,2007,259500
116,Somerst,6,5,1458,2,1,5,2007,176000
117,Sawyer,5,5,1092,1,0,6,2009,139000
118,Edwards,5,5,1125,1,1,5,2007,155000
119,SawyerW,7,5,3222,3,0,11,2010,320000
120,CollgCr,6,5,1456,2,1,8,2006,163990
121,ClearCr,6,5,988,1,0,4,2006,180000
122,IDOTRR,4,5,1123,1,0,4,2007,100000
123,NAmes,6,7,1080,1,0,5,2008,136000
124,SawyerW,6,5,1199,2,0,5,2008,153900
125,NWAmes,6,5,1586,2,0,7,2009,181000
126,IDOTRR,6,8,754,1,0,5,2006,84500
127,NPkVill,6,5,958,2,0,5,2007,128000
128,OldTown,5,7,840,1,0,5,2007,87000
129,NAmes,6,5,1348,1,1,6,2006,155000
130,NAmes,5,7,1053,1,1,6,2006,150000
131,NAmes,7,6,2157,2,1,8,2006,226000
132,Gilbert,6,5,2054,2,1,7,2009,244000
133,NAmes,5,6,1327,1,0,7,2007,150750
134,Timber,8,5,1296,2,0,6,2009,220000
135,Sawyer,5,6,1721,2,1,7,2006,180000
136,NWAmes,7,6,1682,2,0,7,2008,174000
137,NAmes,5,5,1214,2,0,5,2007,143000
138,Mitchel,7,5,1959,3,0,9,2006,171000
139,CollgCr,8,5,1852,2,1,7,2008,230000
140,CollgCr,6,5,1764,2,1,7,2009,231500
141,NAmes,4,5,864,1,0,5,2010,115000
142,CollgCr,7,5,1734,2,0,7,2006,260000
143,NAmes,5,4,1385,2,0,6,2010,166000
144,CollgCr,7,5,1501,2,0,6,2009,204000
145,Sawyer,5,5,1728,2,0,10,2006,125000
146,Edwards,6,5,1709,2,0,7,2006,130000
147,BrkSide,5,7,875,1,0,5,2009,105000
148,Gilbert,7,5,2035,2,1,8,2010,222500
149,SawyerW,7,5,1080,1,0,6,2008,141000
150,BrkSide,5,4,1344,1,0,7,2006,115000
151,CollgCr,5,6,969,1,1,5,2007,122000
152,NridgHt,8,5,1710,2,0,6,2008,372402
153,NWAmes,6,5,1993,2,1,8,2006,190000
154,ClearCr,6,7,1252,1,0,4,2008,235000
155,OldTown,6,5,1200,1,0,7,2006,125000
156,Edwards,6,5,1096,1,0,5,2008,79000
157,NAmes,5,7,1040,1,0,5,2006,109500
158,Timber,8,5,1968,2,1,8,2010,269500
159,Somerst,7,5,1947,2,1,8,2010,254900
160,Gilbert,7,5,2462,2,1,9,2006,320000
161,Veenker,6,6,1232,2,0,6,2008,162500
162,NridgHt,9,5,2668,2,1,10,2008,412500
163,NridgHt,7,5,1541,2,0,7,2010,220000
164,OldTown,4,6,882,1,0,4,2007,103200
165,OldTown,6,7,1616,2,0,5,2007,152000
166,Edwards,5,7,1355,2,0,6,2008,127500
167,ClearCr,5,5,1867,1,0,7,2009,190000
168,NridgHt,8,5,2161,1,1,8,2007,325624
169,Gilbert,7,5,1720,2,1,7,2007,183500
170,Timber,8,6,1707,2,1,6,2006,228000
171,OldTown,5,6,1382,1,1,7,2007,128500
172,NAmes,6,5,1656,1,0,7,2010,215000
173,StoneBr,7,7,1767,2,0,5,2006,239000
174,NAmes,6,5,1362,1,1,6,2008,163000
175,Timber,6,5,1651,2,0,7,2008,184000
176,Edwards,6,7,2158,2,0,7,2007,243000
177,ClearCr,6,5,2060,2,1,8,2007,211000
178,Sawyer,5,5,1920,2,0,8,2006,172500
179,StoneBr,9,5,2234,2,0,9,2009,501837
180,OldTown,5,6,968,1,0,5,2007,100000
181,Somerst,6,5,1525,2,1,5,2007,177000
182,Crawfor,7,6,1802,1,1,9,2006,200100
183,Edwards,5,6,1340,1,0,7,2007,120000
184,OldTown,7,5,2082,2,1,6,2008,200000
185,BrkSide,5,8,1252,1,0,5,2006,127000
186,OldTown,10,9,3608,2,1,12,2006,475000
187,Mitchel,7,5,1217,2,0,6,2009,173000
188,OldTown,5,7,1656,2,1,8,2009,135000
189,SawyerW,5,5,1224,0,2,6,2009,153337
190,StoneBr,8,5,1593,1,1,5,2008,286000
191,Crawfor,8,8,2727,2,1,10,2007,315000
192,NAmes,7,9,1479,1,1,7,2007,184000
193,CollgCr,7,5,1431,2,0,6,2009,192000
194,Edwards,7,5,1709,2,0,7,2006,130000
195,CollgCr,5,7,864,1,0,5,2008,127000
196,NPkVill,6,6,1456,2,1,7,2009,148500
197,Somerst,7,5,1726,2,0,8,2007,311872
198,NAmes,8,4,3112,2,0,8,2006,235000
199,OldTown,6,6,2229,1,0,8,2009,104000
200,NridgHt,8,5,1713,2,0,7,2009,274900
201,Edwards,4,5,1121,2,0,5,2010,140000
202,Mitchel,6,6,1279,2,0,6,2008,171500
203,OldTown,6,6,1310,2,0,6,2006,112000
204,CollgCr,6,5,848,1,0,3,2008,149000
205,OldTown,5,7,1284,1,1,5,2009,110000
206,Gilbert,7,5,1442,2,0,5,2009,180500
207,Sawyer,5,5,1696,1,1,8,2007,143900
208,NAmes,4,5,1100,1,0,6,2008,141000
209,SawyerW,7,5,2062,2,1,7,2007,277000
210,NAmes,6,7,1092,1,0,6,2008,145000
211,Edwards,5,6,864,1,0,5,2008,98000
212,Edwards,6,5,1212,2,0,6,2010,186000
213,Somerst,7,5,1852,2,1,7,2009,252678
214,CollgCr,5,5,990,1,0,5,2006,156000
215,CollgCr,6,7,1392,1,1,6,2010,161750
216,NAmes,5,6,1236,1,0,6,2006,134450
217,CollgCr,7,5,1436,2,0,8,2008,210000
218,OldTown,4,4,1328,1,0,8,2006,107000
219,Crawfor,7,9,1954,1,1,8,2008,311500
220,Blmngtn,7,5,1248,2,0,5,2006,167240
221,CollgCr,7,5,1498,2,0,5,2006,204900
222,Gilbert,6,5,2267,2,1,8,2009,200000
223,NWAmes,6,6,1552,2,1,6,2006,179900
224,NAmes,4,6,864,1,0,4,2009,97000
225,NridgHt,10,5,2392,2,0,8,2009,386250
226,BrDale,5,5,1302,2,1,6,2009,112000
227,NoRidge,7,5,2520,2,1,9,2007,290000
228,BrDale,6,6,987,1,1,5,2008,106000
229,Sawyer,5,5,912,1,0,5,2010,125000
230,Blmngtn,7,5,1555,2,0,7,2009,192500
231,NAmes,6,6,1194,1,0,6,2010,148000
232,NoRidge,8,5,2794,2,1,9,2009,403000
233,BrDale,6,5,987,1,1,5,2006,94500
234,CollgCr,5,6,894,1,0,5,2010,128200
235,Gilbert,6,5,1960,2,1,8,2010,216500
236,BrDale,6,3,987,1,1,5,2008,89500
237,CollgCr,7,5,1414,2,0,6,2010,185500
238,SawyerW,7,7,1744,2,1,7,2010,194500
239,NridgHt,8,5,1694,2,0,7,2007,318000
240,Edwards,6,4,1487,1,1,7,2010,113000
241,Somerst,8,5,1566,2,0,7,2010,262500
242,OldTown,5,9,866,1,0,4,2007,110500
243,OldTown,5,4,1440,1,0,6,2006,79000
244,SawyerW,6,6,1217,1,1,6,2009,120000
245,SawyerW,7,5,2110,2,1,8,2010,205000
246,NWAmes,7,5,1872,2,0,6,2006,241500
247,OldTown,6,8,1928,2,0,9,2006,137000
248,NAmes,6,5,1375,1,0,5,2006,140000
249,CollgCr,7,5,1668,2,1,8,2007,180000
250,ClearCr,6,7,2144,2,0,7,2007,277000
251,BrkSide,3,2,1306,1,0,6,2010,76500
252,Crawfor,8,5,1625,2,0,5,2007,235000
253,SawyerW,6,5,1640,2,1,6,2008,173000
254,NAmes,6,7,1302,2,0,7,2007,158000
255,NAmes,5,6,1314,1,0,5,2010,145000
256,Gilbert,7,5,2291,2,1,8,2006,230000
257,Somerst,6,5,1728,2,1,7,2008,207500
258,CollgCr,7,5,1604,2,1,8,2009,220000
259,CollgCr,7,5,1792,2,1,7,2008,231500
260,OldTown,5,5,882,1,0,4,2008,97000
261,NAmes,6,5,1382,1,0,6,2009,176000
262,CollgCr,8,5,2574,2,1,10,2007,276000
263,Sawyer,6,7,1212,1,0,6,2006,151000
264,OldTown,5,7,1316,1,0,6,2010,130000
265,OldTown,5,5,764,1,0,4,2008,73000
266,NWAmes,6,6,1422,2,0,7,2008,175500
267,Gilbert,6,5,1511,2,1,8,2006,185000
268,SWISU,5,8,2192,2,1,8,2008,179500
269,IDOTRR,5,6,778,1,0,4,2008,120500
270,Edwards,6,7,1113,1,1,6,2007,148000
271,Somerst,8,5,1939,2,1,8,2006,266000
272,ClearCr,7,7,1363,1,0,5,2008,241500
273,NoRidge,8,7,2270,2,1,9,2010,290000
274,NAmes,6,6,1632,2,0,6,2009,139000
275,Mitchel,5,7,816,1,0,5,2007,124500
276,BrkSide,7,7,1548,2,1,5,2009,205000
277,Mitchel,7,5,1560,2,0,7,2010,201000
278,Gilbert,4,5,864,1,0,4,2010,141000
279,NridgHt,9,5,2121,2,1,8,2007,415298
280,ClearCr,7,5,2022,2,1,8,2008,192000
281,SawyerW,7,6,1982,2,1,7,2007,228500
282,Somerst,6,5,1262,2,0,5,2006,185000
283,NridgHt,7,5,1314,2,0,6,2009,207500
284,Somerst,8,5,1468,2,0,6,2009,244600
285,SawyerW,6,5,1575,2,0,5,2007,179200
286,Somerst,7,5,1250,2,1,5,2007,164700
287,NAmes,6,7,1734,1,1,7,2006,159000
288,NAmes,4,4,858,1,0,5,2006,88000
289,Sawyer,5,5,900,1,0,5,2010,122000
290,BrkSide,6,7,1396,1,0,7,2007,153575
291,CollgCr,8,5,1919,2,1,8,2006,233230
292,SWISU,5,6,1716,2,0,9,2008,135900
293,Edwards,5,4,1716,1,1,8,2009,131000
294,NWAmes,7,7,2263,2,1,9,2006,235000
295,NAmes,6,5,1644,1,0,7,2009,167000
296,Mitchel,6,6,1003,1,0,6,2006,142500
297,IDOTRR,5,5,1558,1,1,6,2007,152000
298,Somerst,7,5,1950,2,1,7,2007,239000
299,NWAmes,6,6,1743,1,2,7,2007,175000
300,Crawfor,6,8,1152,1,0,6,2009,158500
301,Crawfor,5,5,1336,1,0,5,2006,157000
302,CollgCr,8,5,2452,2,1,9,2007,267000
303,CollgCr,7,5,1541,2,0,6,2006,205000
304,CollgCr,5,7,894,1,0,5,2006,149900
305,OldTown,7,9,3493,3,0,10,2008,295000
306,CollgCr,8,5,2000,2,0,8,2007,305900
307,SawyerW,7,5,2243,2,1,8,2007,225000
308,IDOTRR,6,7,1406,1,0,6,2008,89500
309,Edwards,4,5,861,1,0,4,2009,82500
310,NridgHt,9,5,1944,2,0,8,2006,360000
311,Gilbert,6,5,1501,2,1,6,2006,165600
312,NAmes,6,6,972,1,0,5,2009,132000
313,OldTown,5,7,1118,1,0,5,2006,119900
314,Timber,7,5,2036,2,0,8,2009,375000
315,OldTown,7,7,1641,1,1,6,2006,178000
316,Gilbert,7,5,1432,2,1,6,2009,188500
317,NWAmes,7,7,2353,2,1,10,2009,260000
318,Somerst,8,5,1959,2,1,8,2007,270000
319,NoRidge,7,5,2646,2,1,9,2009,260000
320,NWAmes,7,5,1472,2,0,6,2009,187500
321,NridgHt,9,5,2596,3,1,9,2006,342643
322,NridgHt,8,5,2468,2,1,10,2007,354000
323,SawyerW,7,5,2730,2,1,8,2007,301000
324,OldTown,3,8,1163,1,0,6,2006,126175
325,NAmes,7,7,2978,2,1,11,2010,242000
326,IDOTRR,5,6,803,1,0,5,2007,87000
327,Veenker,8,5,1719,1,1,6,2008,324000
328,NAmes,6,5,1383,1,1,7,2006,145250
329,BrkSide,6,6,2134,2,0,10,2009,214500
330,IDOTRR,5,5,1192,1,0,6,2009,78000
331,NAmes,5,4,1728,2,0,10,2007,119000
332,NAmes,5,6,1056,1,0,6,2007,139000
333,NridgHt,8,5,1629,2,0,7,2009,284000
334,NridgHt,7,5,1358,2,0,6,2008,207000
335,Gilbert,6,5,1638,2,1,7,2008,192000
336,Timber,5,6,1786,2,0,7,2008,228950
337,StoneBr,9,5,1922,2,0,8,2007,377426
338,CollgCr,7,5,1536,2,0,7,2008,214000
339,NWAmes,7,7,1621,2,0,8,2006,202500
340,NAmes,6,7,1215,1,0,6,2009,155000
341,Timber,8,5,1908,2,1,9,2010,202900
342,SawyerW,4,4,841,1,0,4,2009,82000
343,NAmes,3,4,1040,2,0,6,2006,87500
344,NridgHt,9,5,1684,2,0,6,2008,266000
345,MeadowV,5,3,1112,1,1,4,2010,85000
346,BrkSide,6,5,1577,1,0,6,2006,140200
347,NAmes,6,8,958,1,0,5,2007,151500
348,NAmes,6,5,1478,2,0,6,2009,157500
349,NridgHt,7,5,1626,2,1,6,2008,154000
350,NridgHt,9,5,2728,2,1,10,2006,437154
351,NridgHt,9,5,1869,2,0,6,2007,318061
352,ClearCr,7,5,1453,1,1,6,2006,190000
353,Edwards,5,6,1111,1,0,5,2008,95000
354,OldTown,6,8,720,1,0,5,2010,105900
355,SWISU,6,5,1595,1,0,6,2006,140000
356,CollgCr,6,5,1200,2,0,6,2007,177500
357,Gilbert,6,6,1167,2,0,6,2009,173000
358,MeadowV,5,5,1142,1,1,6,2007,134000
359,ClearCr,5,4,1352,1,0,6,2006,130000
360,NoRidge,8,5,1924,2,1,7,2006,280000
361,Mitchel,6,6,912,1,0,5,2007,156000
362,BrkSide,5,5,1505,1,0,8,2008,145000
363,Edwards,7,5,1922,3,0,7,2009,198500
364,BrDale,6,8,987,1,1,5,2009,118000
365,NWAmes,6,5,1574,2,1,6,2006,190000
366,IDOTRR,5,7,1344,1,0,6,2009,147000
367,NAmes,6,5,1394,1,1,6,2009,159000
368,NAmes,6,5,1431,1,0,6,2008,165000
369,NAmes,5,6,1268,1,0,7,2010,132000
370,NAmes,5,7,1287,1,0,7,2010,162000
371,Gilbert,6,5,1664,2,1,7,2006,172400
372,ClearCr,4,4,1588,2,0,7,2008,134432
373,SawyerW,6,5,752,1,0,4,2010,125000
374,NAmes,5,6,1319,1,0,5,2009,123000
375,CollgCr,7,5,1928,2,1,8,2007,219500
376,Edwards,1,1,904,0,1,4,2009,61000
377,CollgCr,5,5,914,1,0,5,2006,148000
378,Somerst,8,5,2466,3,0,8,2007,340000
379,StoneBr,9,2,1856,1,1,8,2010,394432
380,Gilbert,6,5,1800,2,1,7,2009,179000
381,SWISU,5,6,1691,2,0,6,2010,127000
382,Somerst,7,5,1301,2,0,5,2006,187750
383,CollgCr,7,5,1797,2,1,8,2007,213500
384,SawyerW,6,3,784,1,0,5,2009,76000
385,ClearCr,6,5,1953,2,1,9,2007,240000
386,Blmngtn,8,5,1269,2,0,6,2010,192000
387,Edwards,5,3,1184,1,0,8,2006,81000
388,Edwards,6,6,1125,1,0,6,2009,125000
389,CollgCr,7,5,1479,2,0,6,2008,191000
390,NridgHt,10,5,2332,2,1,9,2008,426000
391,Edwards,5,8,1367,1,0,7,2008,119000
392,Mitchel,6,5,1961,2,1,7,2009,215000
393,NAmes,5,7,882,1,0,5,2007,106500
394,BrkSide,4,5,788,1,0,4,2006,100000
395,OldTown,5,6,1034,1,0,5,2007,109000
396,Edwards,5,6,1144,1,0,6,2010,129000
397,CollgCr,5,5,894,1,0,6,2009,123000
398,NAmes,5,5,1812,2,0,8,2007,169500
399,IDOTRR,5,2,1077,1,0,6,2007,67000
400,Somerst,7,5,1550,2,0,7,2009,241000
401,Veenker,8,5,1288,1,1,4,2008,245500
402,CollgCr,7,5,1310,2,0,6,2006,164990
403,Sawyer,5,8,672,1,0,4,2008,108000
404,NoRidge,8,5,2263,2,1,10,2006,258000
405,Gilbert,6,5,1572,2,1,7,2007,168000
406,Sawyer,4,4,1620,2,0,8,2009,150000
407,SWISU,6,5,1639,1,0,6,2008,115000
408,Crawfor,6,7,1680,2,0,8,2008,177000
409,NridgHt,7,5,2172,2,1,9,2007,280000
410,Somerst,8,5,2078,2,1,8,2008,339750
411,Edwards,5,3,1276,1,0,5,2009,60000
412,Gilbert,5,5,1056,1,0,5,2006,145000
413,Somerst,7,5,1478,2,1,7,2010,222000
414,OldTown,5,6,1028,1,0,5,2010,115000
415,SawyerW,7,5,2097,2,1,9,2008,228000
416,Gilbert,7,5,1340,2,0,6,2007,181134
417,Sawyer,6,7,1400,1,1,6,2006,149500
418,Crawfor,6,6,2624,2,1,10,2007,239000
419,Edwards,5,6,1134,1,1,7,2007,126000
420,NAmes,5,6,1056,1,0,6,2010,142000
421,Mitchel,7,5,1344,2,0,8,2008,206300
422,NWAmes,6,7,1602,2,0,8,2009,215000
423,Mitchel,5,5,988,1,0,4,2008,113000
424,NoRidge,8,5,2630,2,1,8,2008,315000
425,NAmes,6,5,1196,1,0,6,2008,139000
426,OldTown,7,8,1389,1,1,6,2009,135000
427,SawyerW,7,5,1644,2,0,5,2009,275000
428,NAmes,4,6,907,1,0,5,2008,109008
429,CollgCr,7,5,1208,2,0,6,2007,195400
430,Timber,6,5,1412,2,0,6,2009,175000
431,BrDale,6,5,987,1,1,4,2008,85400
432,OldTown,6,7,1198,1,0,7,2008,79900
433,BrDale,5,5,1365,1,1,6,2007,122500
434,Gilbert,6,5,1604,2,1,7,2008,181000
435,MeadowV,4,7,630,1,0,3,2008,81000
436,CollgCr,7,6,1661,2,1,6,2009,212000
437,OldTown,6,8,1118,1,0,6,2006,116000
438,BrkSide,6,7,904,1,0,4,2009,119000
439,Crawfor,5,6,694,1,0,4,2007,90350
440,Edwards,6,8,1196,1,0,7,2009,110000
441,NridgHt,10,5,2402,2,0,10,2009,555000
442,Edwards,4,4,1440,2,0,8,2008,118000
443,BrkSide,5,7,1573,2,0,8,2008,162900
444,Blmngtn,7,5,1258,2,0,6,2007,172500
445,CollgCr,7,5,1908,2,1,8,2008,210000
446,Edwards,6,5,1689,1,0,7,2009,127500
447,NAmes,6,6,1888,2,1,6,2010,190000
448,Gilbert,7,5,1886,2,1,10,2006,199900
449,IDOTRR,6,6,1376,2,0,7,2006,119500
450,OldTown,3,7,1183,1,1,6,2007,120000
451,OldTown,6,8,813,1,0,5,2006,110000
452,ClearCr,7,5,1533,2,0,5,2006,280000
453,Timber,6,5,1756,2,1,7,2007,204000
454,Somerst,8,5,1590,2,1,6,2009,210000
455,Mitchel,5,5,1728,2,0,8,2006,188000
456,NWAmes,7,6,1242,1,1,6,2007,175500
457,OldTown,5,5,1344,1,0,7,2008,98000
458,ClearCr,4,6,1663,1,0,6,2008,256000
459,OldTown,8,7,1666,1,0,7,2008,161000
460,BrkSide,5,4,1203,1,0,5,2009,110000
461,Somerst,8,5,1935,2,1,8,2009,263435
462,SWISU,7,9,1135,1,0,6,2009,155000
463,Sawyer,5,5,864,1,0,5,2009,62383
464,Crawfor,6,7,1660,1,1,6,2008,188700
465,CollgCr,5,5,1040,2,0,5,2009,124000
466,Blmngtn,7,5,1414,2,0,6,2006,178740
467,NAmes,7,5,1277,1,0,5,2007,167000
468,NAmes,5,7,1644,1,1,7,2007,146500
469,NridgHt,8,5,1634,2,0,7,2007,250000
470,SawyerW,6,5,1710,2,1,7,2008,187000
471,StoneBr,8,5,1502,1,1,4,2010,212000
472,NWAmes,7,6,1969,2,1,8,2007,190000
473,Edwards,6,5,1072,1,0,5,2008,148000
474,NridgHt,8,5,1976,2,0,7,2007,440000
475,StoneBr,8,5,1652,2,0,6,2007,251000
476,Sawyer,5,6,970,1,0,5,2007,132500
477,CollgCr,6,5,1493,2,0,7,2008,208900
478,NridgHt,9,5,2643,2,1,9,2007,380000
479,CollgCr,8,5,1718,2,0,7,2009,297000
480,OldTown,4,7,1131,1,0,7,2007,89471
481,NridgHt,9,5,1850,2,0,8,2006,326000
482,NridgHt,9,5,1792,2,0,6,2006,374000
483,OldTown,7,8,1826,1,1,7,2009,155000
484,Mitchel,6,5,1216,2,0,5,2006,164000
485,Sawyer,5,7,999,1,0,6,2007,132500
486,NAmes,5,7,1113,1,0,5,2009,147000
487,NAmes,5,7,1073,1,1,6,2007,156000
488,NWAmes,5,6,1484,2,0,7,2007,175000
489,OldTown,5,4,2414,2,0,10,2006,160000
490,MeadowV,4,8,630,1,0,3,2009,86000
